n_train_traces,acc_micro,edit,f1@10,f1@25,f1@50
1,62.51829114456311,44.00054250949392,57.17244556636948,55.921337613560624,47.053822604345186
2,49.50971322849214,28.32059678031545,39.71044801669816,34.37515334170358,26.5740740898463
3,52.11462450592885,30.42567272170852,41.799564178892794,37.95279024575106,27.912285617028182
4,51.31528046421664,29.371175415646398,41.001859050982944,36.9269235346186,28.013553322304347
5,53.56235808594736,25.888645597085493,42.5781796382489,37.30748537966845,26.58518495128135
6,53.94920528130519,25.508168878932942,41.63946493259739,37.406988317594255,25.613644250265857
7,55.99571104196451,26.924135458325793,42.99626836086439,40.17347093170464,26.653872014445618
8,53.83987890000841,27.522605733283484,42.212933252188364,37.35844971035624,23.518430884134382
9,55.06517534269616,28.068535409248323,42.989099458787045,39.41704372909536,27.621418315486476
10,55.814481540661006,28.08229972230847,42.458814462880056,40.193226626543805,27.28951304827579
