n_train_variants,n_train_traces,n_test_cases,alpha,strategy,sktr_acc,sktr_edit,sktr_f1@10,sktr_f1@25,sktr_f1@50,argmax_acc,argmax_edit,argmax_f1@10,argmax_f1@25,argmax_f1@50,total_time_sec,avg_time_per_trace_sec,avg_rank
50,50,50,0.9,trigram_heavy,86.48883533635951,80.20779828358775,86.09646264379072,84.6113823448712,77.49126467283727,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,21998.75,439.975,8.0
50,50,50,0.95,trigram_heavy,86.48398790913151,80.09416191995139,86.17551402718995,84.6904337282704,77.55845834872662,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,17327.47,346.549,9.833333333333334
50,50,50,0.95,balanced,86.48191044031951,80.09416191995139,86.17551402718995,84.6904337282704,77.55845834872662,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,21257.78,425.156,10.166666666666666
50,50,50,0.7,trigram_heavy,86.48087170591351,80.13487086700708,86.05596085167605,84.45958270028217,77.45857138046657,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,21135.16,422.703,13.0
50,50,50,0.9,balanced,86.48017921630952,80.09416191995139,86.17551402718995,84.6904337282704,77.55845834872662,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,26373.09,527.462,10.833333333333334
50,50,50,0.95,bigram_heavy,86.47844799229951,80.09416191995139,86.17551402718995,84.6904337282704,77.55845834872662,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,17569.15,351.383,11.333333333333334
50,50,50,0.9,bigram_heavy,86.47844799229951,80.09416191995139,86.17551402718995,84.6904337282704,77.55845834872662,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,22525.86,450.517,11.333333333333334
50,50,50,0.95,unigram_super_heavy,86.47567803388353,80.09416191995139,86.17551402718995,84.57278666944688,77.55845834872662,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,23746.22,474.924,14.5
50,50,50,0.7,balanced,86.47360056507152,80.21089425881995,86.09723069294587,84.50085254155204,77.49666661856182,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,21875.66,437.513,12.666666666666666
50,50,50,0.5,balanced,86.47048436185352,80.0814816354438,86.09447609468077,84.6860952681945,77.47551965397814,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,47758.49,955.17,14.666666666666666
