n_train_variants,n_train_traces,n_test_cases,alpha,strategy,sktr_acc,sktr_edit,sktr_f1@10,sktr_f1@25,sktr_f1@50,argmax_acc,argmax_edit,argmax_f1@10,argmax_f1@25,argmax_f1@50,total_time_sec,avg_time_per_trace_sec,avg_rank
28,28,28,0.95,trigram_heavy,76.57646116893515,73.94773453621049,78.5308356617854,74.09747604373295,57.235790130770184,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,1187.58,42.414,2.0
28,28,28,0.95,unigram_super_heavy,76.57005604483587,73.94773453621049,78.5308356617854,74.09747604373295,57.11263742141058,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,958.35,34.227,2.3333333333333335
28,28,28,0.95,balanced,76.56365092073659,73.94773453621049,78.5308356617854,74.09747604373295,57.11263742141058,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,875.34,31.262,2.6666666666666665
28,28,28,0.9,trigram_heavy,76.54443554843876,73.85120943968539,78.48937288062409,73.88790534425895,56.72929282059336,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,851.19,30.4,5.5
28,28,28,0.95,bigram_heavy,76.54443554843876,73.94773453621049,78.5308356617854,74.09747604373295,56.82919070939244,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,949.94,33.927,3.1666666666666665
28,28,28,0.9,bigram_heavy,76.5316253002402,73.62799515397111,78.1881077384309,73.74500850783615,56.9379625917147,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,905.04,32.323,8.0
28,28,28,0.9,balanced,76.51881505204163,73.62799515397111,78.1881077384309,73.74500850783615,56.9379625917147,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,920.16,32.863,8.333333333333334
28,28,28,0.9,unigram_super_heavy,76.51240992794234,73.85120943968539,78.32703521828641,73.88790534425895,56.85460610380138,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,988.38,35.299,6.666666666666667
28,28,28,0.7,trigram_heavy,76.4835868694956,73.57697474580785,78.4928994439038,73.92542191452144,57.13626282464627,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,851.54,30.412,7.666666666666667
28,28,28,0.7,bigram_heavy,76.435548438751,72.15918203337228,77.52815519853336,72.94359355662006,56.38903433220537,76.74619695756604,75.29234022160634,77.39109788590402,72.13786438031043,55.19492919433703,928.83,33.173,12.333333333333334
