case:concept:name,sktr_activity,kari_activity,argmax_activity,ground_truth
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
30,17,17,17,17
